price,beds,bath,laundry,pets,housing_type,parking,hood_district
2295,0,1,(b) on-site,(b) dogs,(c) multi,(d) no parking,8
2495,1,1,(c) no laundry,(c) cats,(c) multi,(d) no parking,3
2199,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,2
2899,0,1,(a) in-unit,(a) both,(c) multi,(b) protected,5
2600,1,1,(c) no laundry,(c) cats,(c) multi,(d) no parking,2
2998,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2990,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,5
2790,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2195,0,1,(c) no laundry,(a) both,(c) multi,(d) no parking,2
2680,1,1.5,(a) in-unit,(a) both,(c) multi,(b) protected,9
1965,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,8
2495,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,8
2685,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,8
2750,1,1,(b) on-site,(c) cats,(c) multi,(b) protected,5
2500,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,4
2835,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2095,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,9
2350,1,1,(b) on-site,(c) cats,(c) multi,(b) protected,8
1950,1,1,(b) on-site,(d) no pets,(b) double,(d) no parking,2
2800,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,8
2300,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,10
2950,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,6
2300,1,1,(b) on-site,(a) both,(c) multi,(b) protected,2
2100,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,2
2800,1,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9
4250,2,2,(a) in-unit,(d) no pets,(c) multi,(d) no parking,5
2190,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,5
2900,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,5
2445,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,7
2500,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,5
2300,1,1,(c) no laundry,(c) cats,(c) multi,(b) protected,5
2395,1,1,(c) no laundry,(c) cats,(c) multi,(b) protected,5
2295,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,6
2700,1,1,(b) on-site,(c) cats,(c) multi,(b) protected,1
2800,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,8
3950,1,1,(a) in-unit,(d) no pets,(c) multi,(a) valet,9
3300,1,1,(a) in-unit,(a) both,(c) multi,(a) valet,9
2950,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,6
2995,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,9
2550,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
2404,1,1,(b) on-site,(a) both,(c) multi,(c) off-street,5
2660,1,1,(b) on-site,(a) both,(c) multi,(c) off-street,5
2570,1,1,(b) on-site,(a) both,(c) multi,(c) off-street,5
2349,1,1,(a) in-unit,(c) cats,(c) multi,(d) no parking,8
2815,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,6
3135,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,6
2995,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,8
3495,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,8
2700,1,1,(c) no laundry,(d) no pets,(c) multi,(b) protected,7
2326,1,1,(b) on-site,(a) both,(c) multi,(b) protected,7
2595,1,1,(a) in-unit,(c) cats,(c) multi,(d) no parking,6
2750,1,1,(a) in-unit,(c) cats,(c) multi,(d) no parking,9
2801,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,9
2200,1,1,(c) no laundry,(a) both,(c) multi,(d) no parking,5
3600,2,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
3000,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
2875,1,1,(b) on-site,(a) both,(c) multi,(b) protected,2
2990,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2956,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,2
2511,1,1,(a) in-unit,(a) both,(c) multi,(a) valet,9
3000,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,7
3000,1,1,(b) on-site,(a) both,(c) multi,(b) protected,7
3200,1,1,(a) in-unit,(c) cats,(c) multi,(b) protected,9
3100,1,1,(b) on-site,(a) both,(c) multi,(b) protected,7
3250,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,8
2600,1,1,(c) no laundry,(a) both,(c) multi,(d) no parking,9
2700,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
2450,1,1,(b) on-site,(c) cats,(c) multi,(b) protected,6
2595,1,1,(b) on-site,(c) cats,(c) multi,(b) protected,1
2995,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,7
2395,1,1,(b) on-site,(c) cats,(c) multi,(d) no parking,6
1900,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,1
2500,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,5
2650,1,1,(c) no laundry,(c) cats,(c) multi,(d) no parking,8
2900,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,5
2617,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,9
2800,2,1,(c) no laundry,(d) no pets,(b) double,(d) no parking,1
